product_id,product_name,category,price
1,Product-1,Grocery,24551.81
2,Product-2,Electronics,12265.75
3,Product-3,Clothing,1347.68
4,Product-4,Clothing,17527.85
5,Product-5,Grocery,11250.83
6,Product-6,Home,8471.07
7,Product-7,Grocery,18762.44
8,Product-8,Toys,16434.5
9,Product-9,Books,2052.09
10,Product-10,Sports,832.78
11,Product-11,Toys,24457.3
12,Product-12,Sports,316.41
13,Product-13,Sports,529.34
14,Product-14,Home,5031.08
15,Product-15,Home,9531.42
16,Product-16,Electronics,17397.44
17,Product-17,Grocery,17436.56
18,Product-18,Grocery,9201.51
19,Product-19,Sports,21347.99
20,Product-20,Toys,10641.63
21,Product-21,Books,8586.11
22,Product-22,Grocery,17991.97
23,Product-23,Sports,4862.94
24,Product-24,Grocery,6703.48
25,Product-25,Home,22973.46
26,Product-26,Electronics,20146.61
27,Product-27,Grocery,21543.9
28,Product-28,Electronics,624.04
29,Product-29,Clothing,20165.36
30,Product-30,Electronics,6111.88
31,Product-31,Clothing,9366.04
32,Product-32,Clothing,14319.12
33,Product-33,Clothing,19482.97
34,Product-34,Toys,1931.52
35,Product-35,Books,385.51
36,Product-36,Toys,8561.31
37,Product-37,Sports,1806.05
38,Product-38,Sports,15671.85
39,Product-39,Toys,24229.29
40,Product-40,Books,21841.37
41,Product-41,Toys,16640.2
42,Product-42,Sports,3093.36
43,Product-43,Books,3510.94
44,Product-44,Books,23167.72
45,Product-45,Clothing,2338.01
46,Product-46,Electronics,145.84
47,Product-47,Toys,17155.74
48,Product-48,Clothing,1297.47
49,Product-49,Electronics,9703.18
50,Product-50,Books,13256.87
51,Product-51,Home,20447.9
52,Product-52,Books,24698.84
53,Product-53,Sports,17671.54
54,Product-54,Home,7237.18
55,Product-55,Books,14815.71
56,Product-56,Toys,1578.6
57,Product-57,Clothing,12714.23
58,Product-58,Electronics,4437.48
59,Product-59,Clothing,6618.38
60,Product-60,Sports,14407.08
61,Product-61,Clothing,17514.18
62,Product-62,Books,19053.58
63,Product-63,Clothing,4716.85
64,Product-64,Grocery,18919.34
65,Product-65,Clothing,4102.47
66,Product-66,Books,20909.21
67,Product-67,Grocery,15058.77
68,Product-68,Sports,16032.84
69,Product-69,Clothing,10691.76
70,Product-70,Toys,8651.74
71,Product-71,Clothing,13287.24
72,Product-72,Books,22269.37
73,Product-73,Books,6329.12
74,Product-74,Toys,4073.54
75,Product-75,Electronics,1616.44
76,Product-76,Grocery,22572.2
77,Product-77,Electronics,15515.14
78,Product-78,Toys,10780.86
79,Product-79,Books,19122.62
80,Product-80,Books,11176.0
81,Product-81,Books,16878.8
82,Product-82,Grocery,14724.06
83,Product-83,Grocery,17467.0
84,Product-84,Sports,16970.98
85,Product-85,Electronics,14251.57
86,Product-86,Books,21001.14
87,Product-87,Home,8984.91
88,Product-88,Toys,12037.2
89,Product-89,Home,7541.17
90,Product-90,Home,7871.19
91,Product-91,Books,4797.61
92,Product-92,Sports,4305.3
93,Product-93,Books,8854.73
94,Product-94,Home,22005.37
95,Product-95,Grocery,23089.98
96,Product-96,Toys,23633.07
97,Product-97,Home,11617.42
98,Product-98,Home,11331.8
99,Product-99,Clothing,18459.59
100,Product-100,Home,10518.95
101,Product-101,Electronics,21840.38
102,Product-102,Toys,7952.25
103,Product-103,Toys,15823.22
104,Product-104,Home,9174.47
105,Product-105,Home,19794.81
106,Product-106,Books,22638.79
107,Product-107,Clothing,14843.78
108,Product-108,Clothing,5463.99
109,Product-109,Electronics,9812.73
110,Product-110,Clothing,6808.71
111,Product-111,Clothing,590.93
112,Product-112,Home,3999.99
113,Product-113,Toys,23882.13
114,Product-114,Sports,6977.86
115,Product-115,Clothing,12189.04
116,Product-116,Books,12503.47
117,Product-117,Home,23685.91
